Title,Oscar Status,Globes Status,Decade Released,Runtime (minutes),Box Office,Genre,Sub-Genre,Studio,Rotten Tomatoes (out of 100),IMDb (out of 100),Metacritic (out of 100),Director,Starring,Release Date,Budget,Domestic Gross,Worldwide Gross,Total Gross,Net Gross,remake,Cast Strength,Director Strength,Total Status,total score
The Talented Mr. Ripley,0,0,1990-1999,139,128798265,"Drama, Thriller",Psychological Thriller,Miramax Films,83,740,76,Anthony Minghella,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett, Philip Seymour Hoffman, Jack Davenport, James Rebhorn, Sergio Rubini",12/24/1999,400000000,812921350,1287921300,2100842650,1700842650,0,3,2,0,233
Manchester by the Sea,1,1,2010-2019,138,78988148,Drama,Melodrama,"Amazon Studios, Roadside Attractions",96,780,96,Kenneth Lonergan,"Heather Burns, Josh Hamilton, Matthew Broderick, Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, C.J. Wilson",11/17/2016,85000000,476953710,777338670,1254292380,1169292380,0,3,0,2,270
Vantage Point,0,0,2000-2009,90,151161491,"Action, Thriller",Political,"Columbia Pictures, Relativity Media",34,660,40,Pete Travis,"Dennis Quaid, Matthew Fox, Forest Whitaker, Sigourney Weaver, William Hurt, Ayelet Zurer, Edgar Ramírez, Eduardo Noriega",2/22/2008,400000000,722663060,1508863290,2231526350,1831526350,0,3,0,0,140
Pain and Gain,0,0,2010-2019,130,87305549,Crime,Action Comedy,Paramount Pictures,51,640,45,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub, Ed Harris, Rob Corddry, Bar Paly, Rebel Wilson",4/24/2013,260000000,498752910,812752910,1311505820,1051505820,0,3,0,0,160
Flushed Away,0,0,2000-2009,85,178120010,Animation,Kids & Family,"Aardman Animation, DreamWorks Animation, Paramount Pictures",73,660,74,David Bowers,"Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno, Bill Nighy, Andy Serkis, Shane Richie, Kathy Burke",11/3/2006,1490000000,646656720,1793571260,2440227980,950227980,0,3,0,0,213
Hotel Artemis,0,0,2010-2019,94,12371132,Crime,Dystopian,Global Road Entertainment,58,610,58,Drew Pearce,"Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum, Charlie Day, Jenny Slate, Dave Bautista, Evan Jones",6/7/2018,150000000,67081370,133166270,200247640,50247640,0,3,0,0,177
The Green Hornet,0,0,2010-2019,119,227817248,Comedy,Action Comedy,Sony Pictures,44,580,39,Michel Gondry,"Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson, Christoph Waltz, Edward James Olmos, David Harbour, Chad L. Coleman",1/14/2011,1100000000,987800420,2291555030,3279355450,2179355450,0,3,0,0,141
Side Effects,0,0,2010-2019,106,63372757,Drama,Mystery & Suspense,Open Road Films,82,710,75,Steven Soderbergh,"Rooney Mara, Jude Law, Catherine Zeta-Jones, Channing Tatum, Vinessa Shaw, Ann Dowd, Polly Draper, David Costabile",2/8/2013,300000000,321727570,667421380,989148950,689148950,0,3,3,0,228
He Got Game,0,0,1990-1999,136,21567853,"Drama, Sports",,"Disney, Buena Vista Pictures, 40 Acres and a Mule Filmworks",81,690,63,Spike Lee,"Denzel Washington, Ray Allen, Rosario Dawson, Hill Harper, Jill Kelly, Chasey Lain, John Turturro, Shaquille O'Neal",5/1/1998,250000000,215678530,224119480,439798010,189798010,0,3,0,0,213
A Star Is Born,1,1,2010-2019,136,433888866,"Musical, Romance","Romantic Drama, Dance & Music",Warner Bros,90,770,88,Bradley Cooper,"Bradley Cooper, Lady Gaga, Sam Elliott, Andrew Dice Clay, Rafi Gavron, Anthony Ramos, Dave Chappelle, Marlon Williams",10/5/2018,360000000,2152888660,4316741560,6469630220,6109630220,0,3,0,2,255
The Great Wall,0,0,2010-2019,103,331957105,Fantasy,Martial Arts/Samurai & Wuxia,"Universal Pictures, Legendary Pictures",35,590,42,Yimou Zhang,"Matt Damon, Jing Tian, Willem Dafoe, Andy Lau, Pedro Pascal, Zhang Hanyu, Johnny Cicco, Lu Han",12/15/2016,1500000000,451571050,3344868520,3796439570,2296439570,0,3,0,0,136
Seabiscuit,1,1,2000-2009,141,148336445,"Drama, Sports",,Universal Pictures,78,730,72,Gary Ross,"Jeff Bridges, David McCullough, Chris Cooper, Tobey Maguire, Elizabeth Banks, Gary L. Stevens, William H. Macy, Royce D. Applegate",7/25/2003,860000000,1202778540,1487153420,2689931960,1829931960,0,3,0,2,223
Million Dollar Arm,0,0,2010-2019,124,38307627,"Drama, Sports",,Disney,65,700,56,Craig Gillespie,"Jon Hamm, Bill Paxton, Lake Bell, Suraj Sharma, Aasif Mandvi, Madhur Mittal, Pitobash Tripathy, Alan Arkin",5/16/2014,250000000,364479590,392179120,756658710,506658710,0,3,0,0,191
Master and Commander: The Far Side of the World,1,1,2000-2009,138,212011111,"Adventure, Thriller",Action Thriller,20th Century Studios,85,740,81,Peter Weir,"Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall, Chris Larkin, Max Pirkis, Lee Ingleby, Billy Boyd",11/14/2003,1350000000,939263860,2129121370,3068385230,1718385230,0,3,2,2,240
Welcome to Mooseport,0,0,2000-2009,110,14000000,"Comedy, RomCom",Political,20th Century Studios,13,520,33,Daniel Petrie,"Ray Romano, Gene Hackman, Marcia Gay Harden, Maura Tierney, June Squibb, Christine Baranski, Fred Savage, Rip Torn",2/20/2004,260000000,144694280,144947700,289641980,29641980,0,3,0,0,98
The Upside,0,0,2010-2019,126,111353135,Dramedy,Dark Comedy,STX Films,42,690,46,Neil Burger,"Kevin Hart, Bryan Cranston, Nicole Kidman, Julianna Margulies, Aja Naomi King, Golshifteh Farahani, Genevieve Angelson, Suzanne Savoy",1/10/2019,375000000,1082354970,1258184400,2340539370,1965539370,0,3,0,0,157
The Devil Wears Prada,0,1,2000-2009,109,326551094,Dramedy,Dark Comedy,20th Century Studios,75,690,62,David Frankel,"Anne Hathaway, Meryl Streep, Emily Blunt, Stanley Tucci, Simon Baker, Adrian Grenier, Tracie Thoms, Rich Sommer",6/30/2006,350000000,1247404600,3260731550,4508136150,4158136150,0,3,0,1,206
The Place Beyond the Pines,0,0,2010-2019,140,35485608,Crime,Heist,Focus Features,78,730,68,Derek Cianfrance,"Bradley Cooper, Eva Mendes, Dane DeHaan, Ryan Gosling, Emory Cohen, Rose Byrne, Mahershala Ali, Bruce Greenwood",3/20/2013,150000000,214035190,470114490,684149680,534149680,0,3,0,0,219
Foxcatcher,0,1,2010-2019,134,12096300,"Drama, Sports",,Annapurna Pictures,87,700,81,Bennett Miller,"Steve Carell, Channing Tatum, Mark Ruffalo, Sienna Miller, Vanessa Redgrave, Anthony Michael Hall, Guy Boyd, Brett Rice",11/14/2014,240000000,120963000,193030580,313993580,73993580,0,3,1,1,238
The Reader,1,1,2000-2009,124,113019290,"Drama, Romance",Romantic Drama,MGM Studios,63,760,58,Stephen Daldry,"Kate Winslet, Ralph Fiennes, David Kross, Lena Olin, Bruno Ganz, Jeanette Hain, Hannah Herzsprung, Karoline Herfurth",12/10/2008,325000000,341944070,1129648750,1471592820,1146592820,0,3,0,2,197
Mortdecai,0,0,2010-2019,106,30418560,Comedy,Spy & Secret Agents/Espionage,Lionsgate,12,550,27,David Koepp,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Paul Bettany, Olivia Munn, Jeff Goldblum, Jonny Pasvolsky, Michael Culkin",1/21/2015,600000000,76961340,373609090,450570430,-149429570,0,3,0,0,94
Snow Dogs,0,0,2000-2009,99,81000000,Adventure,Kids & Family,"Disney, Buena Vista Pictures",25,520,29,Brian Levant,"Cuba Gooding Jr., James Coburn, M. Emmet Walsh, Sisqó, Nichelle Nichols, Graham Greene, Brian Doyle-Murray, Angela Moore",1/18/2002,320000000,811506920,1168980280,1980487200,1660487200,0,3,0,0,106
Anna,0,0,2010-2019,119,31329947,Action,Assassins/Hitmen & Gunslingers,Lionsgate,36,660,40,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Lera Abova, Alexander Petrov, Nikita Pavlenko, Anna Krippa",6/19/2019,300000000,77437940,328252170,405690110,105690110,0,3,0,0,142
Home Alone,0,0,1990-1999,103,476684675,Comedy,"Family Comedy, Christmas",20th Century Studios,65,760,63,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Catherine O'Hara, Roberts Blossom, Devin Ratray, Michael C. Maronna",11/16/1990,150000000,2857612430,4766806410,7624418840,7474418840,0,3,0,0,204
Million Dollar Baby,2,1,2000-2009,132,216763646,"Drama, Sports",,Warner Bros,91,810,86,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Anthony Mackie",12/15/2004,300000000,1004922030,2319282270,3324204300,3024204300,0,3,3,3,258
Conviction,0,0,2010-2019,107,6732980,Drama,Courtroom & Legal,Searchlight Pictures,67,720,61,Tony Goldwyn,"Hilary Swank, Sam Rockwell, Minnie Driver, Bailee Madison, Loren Dean, John Pyper-Ferguson, Karen Young, Marc Macaulay",10/15/2010,125000000,67976960,118269800,186246760,61246760,0,3,0,0,200
Finding Dory,0,0,2010-2019,97,1028570889,Animation,"Kids & Family, Sequel",Disney,94,730,77,Andrew Stanton,"Kaitlin Olson, Albert Brooks, Ellen DeGeneres, Ed O'Neill, Diane Keaton, Eugene Levy, Ty Burrell, Idris Elba",6/16/2016,2000000000,4862955610,10250061250,15113016860,13113016860,0,3,0,0,244
Frankenweenie,1,0,2010-2019,87,81493846,Animation,Kids & Family,Disney,87,690,74,Tim Burton,"Charlie Tahan, Catherine O'Hara, Martin Short, Martin Landau, Atticus Shaffer, Winona Ryder, Robert Capron, James Hiroyuki Liao",10/4/2012,390000000,352877880,811507880,1164385760,774385760,0,3,0,1,230
Unhinged,0,0,2020-2029,90,,"Mystery, Thriller",Psychological Thriller,Solstice Studios,48,630,40,Derrick Borte,"Russell Crowe, Gabriel Bateman, Caren Pistorius, Anne Leighton, Jimmi Simpson, Michael Papajohn, Sylvia Grace Crim, Lucy Faust",7/16/2020,330000000,208314650,373391040,581705690,251705690,0,3,0,0,151
After Earth,0,0,2010-2019,100,243843127,Action,Disaster & Apocalypse,Sony Pictures,11,480,33,M. Night Shyamalan,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz, Glenn Morshower, Chris Geere, Diego Klattenhoff, Lincoln Lewis",5/31/2013,1300000000,605220970,2514996650,3120217620,1820217620,0,3,1,0,92
Enemy at the Gates,0,0,2000-2009,131,96976270,Drama,War,Paramount Pictures,54,760,53,Jean-Jacques Annaud,"Jude Law, Rachel Weisz, Ed Harris, Joseph Fiennes, Bob Hoskins, Ron Perlman, Eva Mattes, Gabriel Thomson",3/16/2001,850000000,513967810,969712930,1483680740,633680740,0,3,0,0,183
Casino Royale (2006),0,0,2000-2009,144,599045960,Action,Spy & Secret Agents/Espionage,MGM Studios,95,80,80,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright, Giancarlo Giannini, Caterina Murino, Simon Abkarian",11/17/2006,1020000000,1673650000,5944202160,7617852160,6597852160,1,3,0,0,183
A Wrinkle in Time,0,0,2010-2019,109,132675864,Fantasy,"Kids & Family, Time Travel",Disney,42,420,53,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Levi Miller, Deric McCabe, Chris Pine, Gugu Mbatha-Raw",3/9/2018,1030000000,1004786080,1332145490,2336931570,1306931570,0,3,0,0,137
The Next Three Days,0,0,2010-2019,133,51148651,"Action, Thriller",Action Thriller,Lionsgate,51,730,52,Paul Haggis,"Russell Crowe, Elizabeth Banks, Brian Dennehy, RZA, Moran Atias, Olivia Wilde, Jason Beghe, Nazanin Boniadi",11/19/2010,300000000,211486510,672559160,884045670,584045670,0,3,0,0,176
Lethal Weapon 4,0,0,1990-1999,127,285444603,Crime,"Action Comedy, Sequel",Warner Bros,53,660,37,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo, Chris Rock, Jet Li, Darlene Love, Traci Wolfe",7/10/1998,1400000000,1304446030,2854000000,4158446030,2758446030,0,3,0,0,156
Men in Black,0,0,1990-1999,98,589390539,Sci-Fi,Alien Invasion,"Sony Pictures, Amblin",92,730,71,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub, Siobhan Fallon Hogan, Mike Nussbaum",7/1/1997,900000000,2506905390,5877905390,8384810780,7484810780,0,3,0,0,236
The 33,0,0,2010-2019,120,24902723,Drama,BioPic & True Story,Warner Bros,48,690,55,Patricia Riggen,"Antonio Banderas, Rodrigo Santoro, Kate del Castillo, Juliette Binoche, James Brolin, Lou Diamond Phillips, Cote de Pablo, Naomi Scott",8/6/2015,250000000,122277220,282874890,405152110,155152110,0,3,0,0,172
