Title,Oscar Status,Globes Status,Decade Released,Runtime (minutes),Box Office,Genre,Sub-Genre,Studio,Rotten Tomatoes (out of 100),IMDb (out of 100),Metacritic (out of 100),Director,Starring,Release Date,Budget,Domestic Gross,Worldwide Gross,Total Gross,Net Gross,remake,Cast Strength,Director Strength,Total Status,total score
The Year of Living Dangerously,0,0,1980-1989,115,1317657,"Drama, Romance","Romantic Drama, Journalism","MGM Studios, United Artists",88,710,65,Peter Weir,"Mel Gibson, Sigourney Weaver, Linda Hunt, Michael Murphy, Bill Kerr, Noel Ferrier, Bembol Roco, Paul Sonkkila",1/21/1983,60000000,102785750,102785750,205571500,145571500,0,0,0,0,224
Casa de Mi Padre,0,0,2010-2019,84,,Comedy,Parody & Satire/Spoof,"Pantelion Films, Gary Sanchez",41,550,52,Matt Piedmont,"Will Ferrell, Gael García Bernal, Génesis Rodríguez, Diego Luna, Efren Ramirez, Nick Offerman, Mariann Gavelo, Adrian Martinez",3/16/2012,60000000,59094830,84469520,143564350,83564350,0,0,0,0,148
Mystic Pizza,0,0,1980-1989,104,,"Dramedy, Romance","Romantic Drama, Young Adult",Samuel Goldwyn Films,75,630,60,Daniel Petrie,"Annabeth Gish, Julia Roberts, Lili Taylor, Vincent D'Onofrio, William R. Moses, Adam Storke, Matt Damon, Conchata Ferrell",10/21/1988,60000000,127932130,127932130,255864260,195864260,0,0,0,0,198
Caddyshack,0,0,1980-1989,98,39846344,"Comedy, Sports",,Warner Bros,74,730,48,Harold Ramis,"Chevy Chase, Rodney Dangerfield, Ted Knight, Michael O'Keefe, Bill Murray, Sarah Holcomb, Scott Colomby, Cindy Morgan",7/25/1980,60000000,398463440,398497640,796961080,736961080,0,0,0,0,195
UHF,0,0,1980-1989,97,,Comedy,Parody & Satire/Spoof,Orion Pictures,64,700,32,Jay Levey,"""Weird Al"" Yankovic, Victoria Jackson, Michael Richards, David Bowe, Fran Drescher, Kevin McCarthy, Anthony Geary, Billy Barty",7/21/1989,50000000,61571570,61571570,123143140,73143140,0,0,0,0,166
Billy Elliot,0,0,2000-2009,110,109280263,Musical,Dance & Music,"Universal Pictures, BBC Films, Working Title",85,770,74,Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven, Gary Lewis, Stephen Mangan, Patrick Malahide, Stuart Wells",10/13/2000,50000000,219952630,1092529720,1312482350,1262482350,0,0,0,0,236
Insidious: Chapter 2,0,0,2010-2019,106,,Horror,"Haunted & Paranormal/Supernatural, Sequel","Blumhouse, FilmDistrict",39,660,40,James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye, Barbara Hershey, Steve Coulter, Leigh Whannell, Angus Sampson",9/13/2013,50000000,835864470,1619215150,2455079620,2405079620,0,0,0,0,145
Clerks II,0,0,2000-2009,97,26888376,Comedy,"Stoner Flick, Sequel",MGM Studios,64,730,65,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Jason Mewes, Kevin Smith, Rosario Dawson, Jennifer Schwalbach Smith, Ben Affleck, Trevor Fehrman",7/21/2006,50000000,241480680,273422460,514903140,464903140,0,0,0,0,202
Polytechnique,0,0,2000-2009,77,,"Drama, Crime",BioPic & True Story,"Alliance Films, Wild Bunch",88,720,63,Denis Villeneuve,"Maxim Gaudette, Sébastien Huberdeau, Karine Vanasse, Evelyne Brochu, Martin Watier, Johanne-Marie Tremblay, Natalie Hamel-Roy, Pierre-Yves Cardinal",2/6/2009,60000000,14183040,14183040,28366080,-31633920,0,0,0,0,223
Cop Car,0,0,2010-2019,86,134552,"Crime, Thriller",Crime Thriller,Focus World,80,630,66,Jon Watts,"Kevin Bacon, James Freedson-Jackson, Hays Wellford, Camryn Manheim, Shea Whigham, Sean Hartley, Kyra Sedgwick, Loi Nguyen",8/7/2015,50000000,1345520,1436580,2782100,-47217900,0,0,0,0,209
Freaky,0,0,2020-2029,101,5772505,Horror,"Horror Comedy, Teen Scream","Blumhouse, Universal Pictures",83,690,66,Christopher Landon,"Vince Vaughn, Kathryn Newton, Alan Ruck, Katie Finneran, Celeste O'Connor, Misha Osherovich, Uriah Shelton, Dana Drori",11/12/2020,60000000,90308550,180734330,271042880,211042880,0,0,0,0,218
Thoroughbreds,0,0,2010-2019,92,2830775,Crime,Dark Comedy,Focus Features,86,670,75,Cory Finley,"Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift, Kaili Vernoff, Stephanie Atkinson, Lauren Laperriere",3/9/2018,50000000,30726050,34742210,65468260,15468260,0,0,0,0,228
A Mighty Wind,0,0,2000-2009,91,18750246,Comedy,Parody & Satire/Spoof,Warner Bros,,,,Christopher Guest,"Bob Balaban, Christopher Guest, John Michael Higgins, Eugene Levy, Jane Lynch, Michael McKean, Catherine O'Hara, Parker Posey",4/16/2003,60000000,175834680,185045390,360880070,300880070,0,0,0,0,
Race,0,0,2010-2019,134,24804129,"Drama, Sports",,Focus Features,62,710,56,Stephen Hopkins,"Stephan James, Jason Sudeikis, Carice van Houten, Jeremy Irons, Amanda Crew, William Hurt, David Kross, Eli Goree",2/19/2016,50000000,191151910,237457720,428609630,378609630,0,0,0,0,189
Happy Death Day,0,0,2010-2019,97,122637878,Horror,"Horror Comedy, Teen Scream, Time Travel","Blumhouse, Universal Pictures",71,650,58,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Rachel Matthews, Billy Slaughter, Charles Aitken, Jimmy Gonzales, Jason Bayle",10/11/2017,50000000,556838450,1250102600,1806941050,1756941050,0,0,0,0,194
Shaun of the Dead,0,0,2000-2009,99,30097092,Comedy,"Horror Comedy, Disaster & Apocalypse, Zombie, Buddies & Screwballs","Universal Pictures, StudioCanal",92,790,76,Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis, Dylan Moran, Penelope Wilton, Bill Nighy, Peter Serafinowicz",9/24/2004,50000000,135428740,289926580,425355320,375355320,0,0,0,0,247
Chinatown,1,2,1970-1979,130,30000000,Mystery,Police & Detectives,Paramount Pictures,99,820,92,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman, Roman Polanski, Diane Ladd, Roy Jenson",6/21/1974,60000000,231698370,231709940,463408310,403408310,0,0,0,3,273
The Last King of Scotland,0,0,2000-2009,121,48027970,Drama,BioPic & True Story,Searchlight Pictures,87,770,74,Kevin Macdonald,"Forest Whitaker, James McAvoy, Simon McBurney, Gillian Anderson, Kerry Washington, David Oyelowo, Abby Mukiibi Nkaaga, Adam Kotz",9/27/2006,60000000,176066840,491553710,667620550,607620550,0,0,0,0,238
Best in Show,0,0,2000-2009,90,,Comedy,Parody & Satire/Spoof,Warner Bros,94,740,78,Christopher Guest,"Jay Brazeau, Parker Posey, Michael Hitchcock, Catherine O'Hara, Eugene Levy, Lewis Arquette, Dany Canino, Bob Balaban",9/27/2000,60000000,186212490,206954130,393166620,333166620,0,0,0,0,246
Made,0,0,2000-2009,94,5476060,Crime,Buddies & Screwballs,Artisan Entertainment,,,,Jon Favreau,"Vince Vaughn, Jon Favreau, Sean Combs, Famke Janssen, Peter Falk, Faizon Love, David O'Hara, Vincent Pastore",7/13/2001,50000000,53087070,54760600,107847670,57847670,0,0,0,0,
Fast Times at Ridgemont High,0,0,1980-1989,90,27092880,Dramedy,Teen Comedy,Universal Pictures,78,720,61,Amy Heckerling,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Phoebe Cates, Brian Backer, Robert Romanus, Ray Walston, Scott Thomson",8/13/1982,45000000,270928800,270931160,541859960,496859960,0,0,0,0,211
The Wackness,0,0,2000-2009,99,3175469,Drama,Coming-of-Age,Sony Pictures,70,700,61,Jonathan Levine,"Ben Kingsley, Famke Janssen, Josh Peck, Olivia Thirlby, Mary-Kate Olsen, Jane Adams, Method Man, Aaron Yoo",7/3/2008,60000000,20770460,33300120,54070580,-5929420,0,0,0,0,201
The Visit,0,0,2010-2019,94,98450062,Horror,Mystery & Suspense,"Blumhouse, Universal Pictures",67,620,55,M. Night Shyamalan,"Olivia DeJonge, Kathryn Hahn, Ocean James, Seamus Moroney, Deanna Dunagan, Ed Oxenbould, Peter McRobbie, Celia Keenan-Bolger",9/10/2015,50000000,652061050,986778160,1638839210,1588839210,0,0,1,0,184
Before I Fall,0,0,2010-2019,98,12141122,Fantasy,Mystery & Suspense,Open Road Films,65,640,58,Ry Russo-Young,"Zoey Deutch, Halston Sage, Elena Kampouris, Jennifer Beals, Logan Miller, Cynthy Wu, Erica Tremblay, Medalion Rahimi",3/3/2017,50000000,122410720,189456820,311867540,261867540,0,0,0,0,187
Memento,0,0,2000-2009,113,39723096,"Mystery, Thriller, Crime","Psychological Thriller, Crime Thriller",Newmarket Films,93,840,80,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Russ Fega, Jorja Fox, Stephen Tobolowsky, Harriet Sansom Harris",3/16/2001,50000000,255448670,397194310,652642980,602642980,0,0,0,0,257
The Machinist,0,0,2000-2009,101,8203235,"Drama, Thriller",Psychological Thriller,Paramount Pictures,77,770,61,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Craig Stevenson, Reg E. Cathey",10/22/2004,50000000,10820440,86553970,97374410,47374410,0,0,0,0,215
It Comes at Night,0,0,2010-2019,91,19280931,Horror,Mystery & Suspense,A24,88,620,78,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough, Kelvin Harrison Jr., Griffin Robert Faulkner, David Pendleton, Mikey",6/9/2017,50000000,139851170,197202030,337053200,287053200,0,0,0,0,228
The Beastmaster,0,0,1980-1989,118,14056528,Fantasy,Sword & Sandal,MGM Studios,50,620,18,Don Coscarelli,"Marc Singer, Tanya Roberts, Rip Torn, John Amos, Joshua Milrad, Rod Loomis, Ben Hammer, Ralph Strait",8/20/1982,50000000,107511260,107511260,215022520,165022520,0,0,0,0,130
Wilson,0,0,2010-2019,94,653951,Dramedy,Family Dynamics,Searchlight Pictures,47,580,49,Craig Johnson,"Woody Harrelson, Laura Dern, Isabella Amara, Judy Greer, Cheryl Hines, David Warshofsky, Margo Martindale, Brett Gelman",8/1/1944,52000000,20000000,20000000,40000000,-12000000,0,0,0,0,154
Paranormal Activity 4,0,0,2010-2019,88,142817992,Horror,"Haunted & Paranormal/Supernatural, Sequel","Blumhouse, Paramount Pictures",24,460,40,Ariel Schulman,"Katie Featherston, Kathryn Newton, Matt Shively, Aiden Lovekamp, Brady Allen, Stephen Dunham, Alexondra Lee, Georgica Pettus",10/17/2012,50000000,539003350,1428179920,1967183270,1917183270,0,0,0,0,110
Dallas Buyers Club,1,0,2010-2019,117,55736588,Drama,LGBTQ+,Focus Features,93,800,80,Jean-Marc Vallée,"Matthew McConaughey, Steve Zahn, Jennifer Garner, Denis O'Hare, Dallas Roberts, Michael O'Neill, Kevin Rankin, Jared Leto",11/1/2013,50000000,272982850,606118450,879101300,829101300,0,0,0,1,253
Oculus,0,0,2010-2019,104,44459951,Horror,Psychological Horror,"Blumhouse, Relativity Media, WWE Films",,,,Mike Flanagan,"Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane, Annalise Basso, Garrett Ryan, James Lafferty, Miguel Sandoval",4/11/2014,50000000,276952460,441154960,718107420,668107420,0,0,0,0,
The Return of the Pink Panther,0,0,1970-1979,113,41833347,Comedy,"Police & Detectives, Sequel",United Artists,,,,Blake Edwards,"Peter Sellers, Christopher Plummer, Catherine Schell, Herbert Lom, Peter Arne, Peter Jeffrey, Grégoire Aslan, David Lodge",5/16/1975,50000000,418333470,418334240,836667710,786667710,0,0,0,0,
47 Meters Down,0,0,2010-2019,89,44235023,Horror,Monsters & Creatures,Entertainment One,53,560,52,Johannes Roberts,"Claire Holt, Mandy Moore, Chris Johnson, Yani Gellman, Santiago Segura, Matthew Modine, Axel Mansella, Mayra Juárez",5/26/2017,53000000,443071930,626337050,1069408980,1016408980,0,0,0,0,161
Black Christmas (2019),0,0,2010-2019,92,,Horror,"Teen Scream, Christmas","Blumhouse, Universal Pictures",38,32,49,Sophia Takal,"Imogen Poots, Cary Elwes, Lily Donoghue, Brittany O'Grady, Aleyse Shannon, Lucy Currey, Madeleine Adams, Ben Black",12/13/2019,50000000,104297300,185260870,289558170,239558170,1,0,0,0,90.2
Chariots of Fire,2,0,1980-1989,123,58972904,"Drama, Sports",,Warner Bros,85,720,78,Hugh Hudson,"Ben Cross, Ian Charleson, Cheryl Campbell, Alice Krige, Nigel Havers, Ian Holm, Nicholas Farrell, Daniel Gerroll",9/25/1981,55000000,615581620,619105070,1234686690,1179686690,0,0,0,2,235
High Plains Drifter,0,0,1970-1979,105,15700000,Western,,Universal Pictures,96,750,69,Clint Eastwood,"Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan, Jack Ging, Stefan Gierasch, Ted Hartley, Billy Curtis",8/22/1973,55000000,157000000,157000000,314000000,259000000,0,0,0,0,240
Bend It Like Beckham,0,0,2000-2009,112,76578641,"Dramedy, Sports",,Searchlight Pictures,85,660,66,Gurinder Chadha,"Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher, Shaheen Khan, Frank Harper, Juliet Stevenson, Ameet Chana",4/12/2002,56000000,325434490,745660420,1071094910,1015094910,0,0,0,0,217
Planet of the Apes (2001),0,0,2000-2009,119,362211740,Sci-Fi,"Dystopian, Time Travel, Sequel",20th Century Studios,44,57,50,Tim Burton,"Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Kris Kristofferson, Estella Warren, Paul Giamatti, Cary-Hiroyuki Tagawa",2/8/1968,58000000,325896240,325931340,651827580,593827580,1,0,0,0,99.7
Once Upon a Time in the West,0,0,1960-1969,166,5321508,Western,Spaghetti Western,Paramount Pictures,95,850,80,Sergio Leone,"Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson, Gabriele Ferzetti, Paolo Stoppa, Woody Strode, Jack Elam",5/28/1969,50000000,53215080,53806040,107021120,57021120,0,0,0,0,260
Videodrome,0,0,1980-1989,88,2120439,"Horror, Thriller, Sci-Fi",Sci-Fi Thriller,Universal Pictures,,,,David Cronenberg,"James Woods, Sonja Smits, Debbie Harry, Peter Dvorsky, Leslie Carlson, Jack Creley, Lynne Gorman, Julie Khaner",2/4/1983,59520000,21204390,21219390,42423780,-17096220,0,0,0,0,
Escape From New York,0,0,1980-1989,99,50244700,Action,Dystopian,Embassy Pictures,86,720,76,John Carpenter,"Kurt Russell, Lee Van Cleef, Donald Pleasence, Adrienne Barbeau, Harry Dean Stanton, Ernest Borgnine, Isaac Hayes, Frank Doubleday",7/10/1981,60000000,252447000,252763500,505210500,445210500,0,0,0,0,234
Paranormal Activity 3,0,0,2010-2019,83,205703818,Horror,"Haunted & Paranormal/Supernatural, Prequel","Blumhouse, Paramount Pictures",67,580,59,Henry Joost,"Katie Featherston, Sprague Grayden, Lauren Bittner, Christopher Nicholas Smith, Chloe Csengery, Jessica Tyler Brown, Marilyn Alex, Dustin Ingram",10/21/2011,50000000,1040288070,2070398440,3110686510,3060686510,0,0,0,0,184
Light Sleeper,0,0,1990-1999,103,,"Crime, Drama",,Fine Line Features,88,690,70,Paul Schrader,"Willem Dafoe, Susan Sarandon, Dana Delany, David Clennon, Mary Beth Hurt, Victor Garber, Jane Adams, Sam Rockwell",9/21/1992,50000000,10508610,10508610,21017220,-28982780,0,0,0,0,227
Green Room,0,0,2010-2019,95,3769214,"Horror, Crime, Thriller","Slasher & Shock/Gore, Crime Thriller, Horror Thriller",A24,91,700,79,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole, Callum Turner, Patrick Stewart, Mark Webber, Eric Edelstein",4/15/2016,50000000,32203710,38075030,70278740,20278740,0,0,0,0,240
Operation Mincemeat,0,0,2020-2029,128,,Drama,War,"See-Saw Films, Netflix",,,,addenm John,"Colin Firth, Matthew Macfadyen, Kelly Macdonald, Penelope Wilton, Johnny Flynn, Jason Isaacs, Mark Gatiss, Hattie Morahan",4/15/2022,63000000,0,156078810,156078810,93078810,0,0,0,0,
The Gift,0,0,2010-2019,108,58978653,Drama,Mystery & Suspense,"Blumhouse, STX Films",91,700,77,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman, Tim Griffin, Busy Philipps, Adam Lazarre-White, Beau Knapp",8/6/2015,50000000,437872650,589784770,1027657420,977657420,0,0,0,0,238
The Damned United,0,0,2000-2009,97,,"Drama, Sports",BioPic & True Story,Sony Pictures,92,750,81,Tom Hooper,"Michael Sheen, Timothy Spall, Colm Meaney, Jim Broadbent, Maurice Roeves, Stephen Graham, Henry Goodman, Mark Bazeley",10/9/2009,64000000,4498650,41998740,46497390,-17502610,0,0,0,0,248
The Terminator,0,0,1980-1989,108,78371200,Action,"Sci-Fi Thriller, Time Travel",Orion Pictures,100,800,84,James Cameron,"Michael Biehn, Arnold Schwarzenegger, Linda Hamilton, Paul Winfield, Lance Henriksen, Rick Rossovich, Bess Motta, Earl Boen",10/26/1984,64000000,380190310,780190310,1160380620,1096380620,0,0,0,0,264
Personal Shopper,0,0,2010-2019,106,1305195,Drama,Mystery & Suspense,IFC Films,80,610,77,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz, Anders Danielsen Lie, Ty Olwin, Hammou Graïa, Nora von Waldstätten, Benjamin Biolay",11/19/2016,64000000,13051950,38049770,51101720,-12898280,0,0,0,0,218
Go,0,0,1990-1999,98,28451622,"Comedy, Crime",Dark Comedy,Columbia Pictures,91,720,72,Doug Liman,"Sarah Polley, Katie Holmes, Jay Mohr, Timothy Olyphant, William Fichtner, Scott Wolf, Robert Peters, Suzanne Krull",4/9/1999,65000000,168752730,283834410,452587140,387587140,0,0,0,0,235
The Elephant Man,1,0,1980-1989,124,26010864,Drama,Melodrama,Paramount Pictures,,,,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller, Freddie Jones, Michael Elphick, Hannah Gordon",10/3/1980,50000000,260108640,260248860,520357500,470357500,0,0,0,1,
Tucker and Dale vs. Evil,0,0,2010-2019,89,5224938,Horror,Horror Comedy,Magnolia Pictures,,,,Eli Craig,"Alan Tudyk, Tyler Labine, Katrina Bowden, Philip Granger, Jesse Moss, Bill Baksa, Christie Laing, Chelan Simmons",7/28/2011,50000000,2238380,54763780,57002160,7002160,0,0,0,0,
Boyz N the Hood,0,0,1990-1999,112,57504069,Drama,Coming-of-Age,Columbia Pictures,96,770,76,John Singleton,"Laurence Fishburne, Cuba Gooding Jr., Ice Cube, Morris Chestnut, Angela Bassett, Nia Long, Tyra Ferrell, Lexie Bigham",7/12/1991,65000000,561900940,562150950,1124051890,1059051890,0,0,0,0,249
The Andromeda Strain,0,0,1970-1979,131,12376563,"Sci-Fi, Thriller",Sci-Fi Thriller,Universal Pictures,,,,Robert Wise,"Arthur Hill, David Wayne, James Olson, Kate Reid, Paula Kelly, George Mitchell, Ramon Bieri, Peter Hobbs",1/1/1971,65000000,123765630,123766330,247531960,182531960,0,0,2,0,
Hostel,0,0,2000-2009,94,80578934,Horror,Slasher & Shock/Gore,Lionsgate,61,590,55,Eli Roth,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljáková, Jana Kadeřábková, Jan Vlasák, Ľubomír Bukový, Takashi Miike",1/6/2006,48000000,473264730,822411100,1295675830,1247675830,0,0,0,0,175
Layer Cake,0,0,2000-2009,105,11850214,Crime,Gangster & Mob/Mafia,Sony Pictures,80,730,73,Matthew Vaughn,"Daniel Craig, Tom Hardy, Colm Meaney, George Harris, Sally Hawkins, Kenneth Cranham, Jamie Foreman, Sienna Miller",5/13/2005,65000000,23399570,117459310,140858880,75858880,0,0,0,0,226
Annabelle,0,0,2010-2019,99,257047661,Horror,"Ghosts/Demons & Possession, Prequel",Warner Bros,29,540,37,John R. Leonetti,"Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard, Eric Ladin, Kerry O'Malley, Brian Howe, Ivar Brogger",10/2/2014,65000000,842738130,2568575270,3411313400,3346313400,0,0,0,0,120
Dressed to Kill,0,0,1980-1989,105,31899000,"Mystery, Thriller",Psychological Thriller,Filmways Pictures,81,710,74,Brian De Palma,"Michael Caine, Angie Dickinson, Nancy Allen, Keith Gordon, Dennis Franz, David Margulies, Ken Baker, Susanna Clemm",1/1/1980,65000000,318990000,318990000,637980000,572980000,0,0,0,0,226
The Texas Chainsaw Massacre 2,0,0,1980-1989,101,8025872,Horror,"Psychological Horror, Slasher & Shock/Gore, Sequel",Cannon Films,47,560,42,Tobe Hooper,"Caroline Williams, Dennis Hopper, Bill Johnson, Jim Siedow, Bill Moseley, Lou Perryman, Tobe Hooper, Ken Evert",8/22/1986,47000000,80258720,80258720,160517440,113517440,0,0,0,0,145
Incendies,0,0,2010-2019,130,,Drama,War,Sony Pictures,93,830,80,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman, Abdelghafour Elaaziz, Dominique Briand, Frédéric Paquet",9/17/2010,68000000,68570960,160174480,228745440,160745440,0,0,0,0,256
Donnie Darko,0,0,2000-2009,114,6979093,"Sci-Fi, Thriller",Sci-Fi Thriller,Newmarket Films,87,800,88,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Patrick Swayze, Maggie Gyllenhaal, Drew Barrymore, Beth Grant, Daveigh Chase, Holmes Osborne",10/26/2001,45000000,14800060,75101540,89901600,44901600,0,0,0,0,255
Dazed and Confused,0,0,1990-1999,102,7993039,Comedy,Stoner Flick,Gramercy Pictures,92,760,78,Richard Linklater,"Jason London, Joey Lauren Adams, Milla Jovovich, Shawn Andrews, Rory Cochrane, Adam Goldberg, Anthony Rapp, Sasha Jenson",9/24/1993,69000000,81467740,81547450,163015190,94015190,0,0,0,0,246
Pale Rider,0,0,1980-1989,115,41410568,Western,,Warner Bros,93,730,61,Clint Eastwood,"Clint Eastwood, Michael Moriarty, Carrie Snodgress, Chris Penn, Richard Dysart, Sydney Penny, Richard Kiel, Doug McGrath",6/28/1985,69000000,414105680,414105680,828211360,759211360,0,0,0,0,227
Zola,0,0,2020-2029,90,,Dramedy,BioPic & True Story,A24,89,560,72,Janicza Bravo,"Taylour Paige, Riley Keough, Colman Domingo, Nicholas Braun, Ari'el Stachel, Jason Mitchell, Ts Madison, Megan Hayes",6/30/2021,50000000,48443990,51702000,100145990,50145990,0,0,0,0,217
Mallrats,0,0,1990-1999,94,2122561,Comedy,"Stoner Flick, Buddies & Screwballs",Gramercy Pictures,56,710,41,Kevin Smith,"Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck, Joey Lauren Adams, Michael Rooker, Jason Mewes",10/20/1995,61000000,21083670,21083670,42167340,-18832660,0,0,0,0,168
Shattered Glass,0,0,2000-2009,94,2944752,Drama,"BioPic & True Story, Journalism",Lionsgate,92,710,73,Billy Ray,"Hayden Christensen, Peter Sarsgaard, Chloë Sevigny, Rosario Dawson, Melanie Lynskey, Hank Azaria, Steve Zahn, Mark Blum",10/31/2003,60000000,22079750,34566020,56645770,-3354230,0,0,0,0,236
Monster,0,0,2020-2029,98,,Drama,Courtroom & Legal,"Netflix, BRON",57,550,,Anthony Mandler,"Kelvin Harrison Jr., Jeffrey Wright, Jennifer Hudson, Jennifer Ehle, Tim Blake Nelson, John David Washington, A$AP Rocky, Lovie Simone",12/24/2003,50000000,344692100,642003210,986695310,936695310,0,0,0,0,
Platoon,2,2,1980-1989,120,138530565,Action,War,Orion Pictures,88,810,92,Oliver Stone,"Charlie Sheen, Willem Dafoe, Johnny Depp, Forest Whitaker, Tom Berenger, Keith David, Francesco Quinn, Kevin Dillon",12/19/1986,60000000,1379633280,1379783950,2759417230,2699417230,0,0,0,4,261
Beasts of No Nation,0,0,2010-2019,137,9077700,Drama,War,"Netflix, Bleecker Street",92,770,79,Cary Joji Fukunaga,"Idris Elba, Opeyemi Fagbohungbe, Abraham Attah, Richard Pepple, Ama K. Abebrese, Kobina Amissah-Sam, Emmanuel Affadzi, John Arthur",10/16/2015,60000000,907770,907770,1815540,-58184460,0,0,0,0,248
Marcel the Shell with Shoes On,0,0,2020-2029,90,6000000,"Animation, Dramedy",,A24,,,,Dana Fleischer Camp,"Jenny Slate, Dean Fleischer-Camp, Isabella Rossellini, Thomas Mann, Rosa Salazar, Lesley Stahl, Nathan Fielder, Andy Richter",6/24/2022,60000000,63337030,71117690,134454720,74454720,0,0,0,0,
A Nightmare on Elm Street 3: Dream Warriors,0,0,1980-1989,96,44800000,Horror,"Teen Scream, Sequel",Warner Bros,74,660,49,Chuck Russell,"Robert Englund, Heather Langenkamp, Craig Wasson, Patricia Arquette, Ken Sagoes, Rodney Eastman, Jennifer Rubin, Bradley Gregg",2/27/1987,50000000,447932220,447932220,895864440,845864440,0,0,0,0,189
Mary Poppins,1,1,1960-1969,139,102272727,Musical,Kids & Family,Disney,100,780,88,Robert Stevenson,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Karen Dotrice, Matthew Garber, Elsa Lanchester",8/26/1964,60000000,1022721450,1022987140,2045708590,1985708590,0,0,0,2,266
The Wild Bunch,0,0,1960-1969,145,638641,Western,,Warner Bros,90,790,97,Sam Peckinpah,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien, Warren Oates, Jaime Sánchez, Ben Johnson, Emilio Fernández",6/18/1969,60000000,5094240,5094240,10188480,-49811520,0,0,0,0,266
Saw II,0,0,2000-2009,89,152925093,Horror,"Slasher & Shock/Gore, Sequel",Lionsgate,37,660,40,Darren Lynn Bousman,"Tobin Bell, Donnie Wahlberg, Shawnee Smith, Erik Knudsen, Franky G, Glenn Plummer, Emmanuelle Vaugier, Beverley Mitchell",10/28/2005,50000000,870250930,1529250930,2399501860,2349501860,0,0,0,0,143
Ready or Not,0,0,2010-2019,95,57615777,Horror,Horror Comedy,Searchlight Pictures,88,680,64,Matt Bettinelli-Olpin,"Samara Weaving, Adam Brody, Henry Czerny, Andie MacDowell, Melanie Scrofano, Elyse Levesque, Kristian Bruun, John Ralston",8/21/2019,60000000,287142310,567858510,855000820,795000820,0,0,0,0,220
Everything Must Go,0,0,2010-2019,97,2614773,Drama,Melodrama,Roadside Attractions,73,640,65,Dan Rush,"Will Ferrell, C.J. Wallace, Rebecca Hall, Michael Peña, Rosalie Michaels, Stephen Root, Laura Dern, Glenn Howerton",5/13/2011,50000000,27121310,28210100,55331410,5331410,0,0,0,0,202
Grease,0,0,1970-1979,110,181813770,"Musical, RomCom",Dance & Music,Paramount Pictures,75,720,70,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci, Kelly Ward, Didi Conn",6/16/1978,60000000,1818137700,3874723170,5692860870,5632860870,0,0,0,0,217
Our Idiot Brother,0,0,2010-2019,90,24816118,Dramedy,Family Dynamics,Lantern Entertainment,70,640,60,Jesse Peretz,"Paul Rudd, Elizabeth Banks, Zooey Deschanel, Emily Mortimer, Adam Scott, Kathryn Hahn, Hugh Dancy, Steve Coogan",8/26/2011,50000000,248148300,258612490,506760790,456760790,0,0,0,0,194
School Daze,0,0,1980-1989,121,,Musical,Social Commentary,"Sony Pictures, 40 Acres and a Mule Filmworks",58,600,49,Spike Lee,"Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin, Ossie Davis, Joe Seneca, Art Evans, Ellen Holly, Bill Nunn",2/12/1988,60000000,145458440,145458440,290916880,230916880,0,0,0,0,167
